商品编码,品名,划线价,销售价,税费,利润,高级会员,蓝钻会员,红钻
HH00000120,澳大利亚 Sukin苏芊 天然泡沫洗面奶 125ml ,,75.62,7.62,37.65,0.38,0.75,1.13
HH00000122,日本 Rosette诗留美屋无添加海泥洗面奶蓝色款 120g,,54.49,5.49,26.41,0.26,0.53,0.79
HH00000124,澳大利亚Sukin苏芊天然保湿乳液 125ml,,76.73,7.73,20.75,0.21,0.42,0.62
HH00000125,澳大利亚Sukin苏芊玫瑰果补湿日霜 120ml,,108.98,10.98,28.87,0.29,0.58,0.87
HH00000127,澳大利亚Sukin苏芊排毒眼部精华 30ml ,,139,14,73.62,0.74,1.47,2.21
HH00000128,法国 YSL圣罗兰圆管口红#13,,309.14,31.14,83.63,0.84,1.67,2.51
HH00000129,法国圣罗兰YSL黑丝缎保湿隔离妆前乳40ml,,409.22,41.22,94,0.94,1.88,2.82
HH00000130,法国 Dior迪奥烈艳蓝金唇膏#047,,254.65,25.65,40.97,0.41,0.82,1.23
HH00000134,美国EsteeLauder雅诗兰黛 粉底液 1W1,,375.86,37.86,104.48,1.04,2.09,3.13
HH00000135,美国EsteeLauder雅诗兰黛 粉底液 1W2,,375.86,37.86,84.08,0.84,1.68,2.52
HH00000136,德国 Herbacin贺本清小甘菊唇膏,,43.37,4.37,13.51,0.14,0.27,0.41
HH00000137,韩国A. by bom 超能婴儿桃花面膜5片/盒,,76.73,7.73,12.9,0.13,0.26,0.39
HH00000140,日本ARS安速 小黑帽蟑螂屋 2盒装,,105.64,10.64,16.79,0.17,0.34,0.5
HH00000141,韩国美迪惠尔MEDIHEAL可莱丝Line Friends I.P.I清澈透亮面膜 10片/盒,,98.97,9.97,17.46,0.17,0.35,0.52
HH00000143,韩国 SHANGPREE香蒲丽螺旋藻绿公主眼膜60片,,197.94,19.94,85.92,0.86,1.72,2.58
HH00000144,澳大利亚Elevit爱乐维叶酸片孕妇维生素营养 100粒,,376.97,37.97,65.78,0.66,1.32,1.97
